dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
612,46,14581575,8133749,4995,1213
533,29,14760701,8312875,4789,710
512,28,14939315,8491489,4540,733
499,15,15117895,8670069,4315,709
457,28,15296976,8849150,4068,676
445,14,15476057,9028231,3814,685
390,14,15654587,9206761,3502,688
364,27,15834229,9386403,3246,593
340,13,16012542,9564716,3050,523
348,14,16191643,9743817,2882,502
307,17,16370554,9922728,2684,488
276,15,16549017,10101191,2505,440
264,8,16727874,10280048,2320,441
211,12,16906507,10458681,2136,383
251,10,17085372,10637546,2025,352
234,11,17264138,10816312,1914,334
176,3,17443575,10995749,1740,347
189,1,17621530,11173704,1638,290
147,7,17800177,11352351,1499,279
154,8,17978923,11531097,1389,256
149,11,18156784,11708958,1313,214
148,2,18335452,11887626,1217,242
130,13,18513965,12066139,1107,227
138,7,18692929,12245103,1066,172
108,4,18871874,12424048,988,182
98,3,19051175,12603349,936,147
109,9,19229763,12781937,888,148
89,5,19408773,12960947,833,139
85,4,19588060,13140234,773,141
97,6,19766503,13318677,731,133
80,4,19945429,13497603,681,126
76,3,20124225,13676399,643,111
56,1,20302335,13854509,599,99
58,4,20481514,14033688,551,102
52,1,20660314,14212488,513,89
49,3,20660317,14212491,475,84
52,3,20660322,14212496,432,92
35,5,20660325,14212499,385,77
34,2,20660327,14212501,343,74
28,3,20660328,14212502,314,54
35,3,20660330,14212504,292,54
24,2,20660330,14212504,261,53
18,1,20660330,14212504,233,45
22,3,20660330,14212504,200,52
18,1,20660330,14212504,182,35
10,1,20660330,14212504,157,34
21,2,20660330,14212504,149,27
15,1,20660330,14212504,132,31
9,1,20660330,14212504,113,27
17,1,20660330,14212504,114,15
8,0,20660330,14212504,101,21
8,1,20660330,14212504,89,19
5,0,20660330,14212504,83,11
10,1,20660330,14212504,74,18
10,0,20660330,14212504,68,16
3,0,20660330,14212504,61,10
6,3,20660330,14212504,51,13
3,1,20660330,14212504,46,7
2,0,20660330,14212504,42,6
5,0,20660330,14212504,39,8
5,1,20660330,14212504,34,9
2,0,20660330,14212504,26,10
4,0,20660330,14212504,27,3
7,0,20660330,14212504,29,5
6,1,20660330,14212504,31,3
3,0,20660330,14212504,32,2
5,0,20660330,14212504,32,5
1,0,20660330,14212504,28,5
3,0,20660330,14212504,29,2
4,0,20660330,14212504,29,4
3,0,20660330,14212504,25,7
1,0,20660330,14212504,20,6
0,0,20660330,14212504,18,2
1,0,20660330,14212504,13,6
2,0,20660330,14212504,14,1
0,0,20660330,14212504,11,3
1,0,20660330,14212504,9,3
1,0,20660330,14212504,7,3
1,1,20660330,14212504,6,1
0,0,20660330,14212504,6,0
1,0,20660330,14212504,7,0
0,0,20660330,14212504,4,3
0,0,20660330,14212504,4,0
0,0,20660330,14212504,3,1
0,0,20660330,14212504,2,1
0,0,20660330,14212504,1,1
0,0,20660330,14212504,1,0
0,0,20660330,14212504,0,1
